User ID,Gender,Age,Activity Level,Location,App Sessions,Distance Travelled (km),Calories Burned,Cluster
1,Female,22,Active,Suburban,151,140,728,2
2,Male,50,Active,Rural,157,115,523,2
3,Male,36,Active,Urban,178,163,795,2
4,Female,36,Active,Suburban,155,85,715,2
5,Male,34,Sedentary,Rural,95,71,439,1
6,Male,41,Sedentary,Suburban,80,60,197,0
7,Female,45,Sedentary,Urban,68,43,309,0
8,Male,59,Moderate,Urban,136,133,350,1
9,Female,54,Sedentary,Urban,87,50,336,0
10,Female,39,Active,Urban,187,135,702,2
11,Male,56,Active,Urban,179,171,833,2
12,Male,33,Moderate,Suburban,107,77,415,1
13,Female,52,Sedentary,Suburban,71,69,311,0
14,Male,44,Moderate,Rural,123,86,588,1
15,Female,29,Moderate,Rural,101,88,341,1
16,Female,45,Sedentary,Urban,86,51,407,0
17,Female,18,Moderate,Urban,102,94,291,1
18,Female,56,Sedentary,Suburban,82,70,329,0
19,Female,35,Sedentary,Urban,92,47,386,0
20,Female,40,Moderate,Urban,111,73,241,0
21,Male,39,Active,Urban,158,121,757,2
22,Female,21,Sedentary,Rural,67,50,173,0
23,Male,28,Active,Suburban,185,118,416,2
24,Male,35,Active,Rural,157,100,688,2
25,Male,24,Sedentary,Urban,62,60,130,0
26,Female,38,Active,Urban,199,164,759,2
27,Female,52,Moderate,Rural,138,75,471,1
28,Male,54,Moderate,Rural,107,84,488,1
29,Female,47,Active,Suburban,161,136,715,2
30,Male,34,Moderate,Urban,113,82,502,1
31,Female,50,Sedentary,Urban,69,37,284,0
32,Female,33,Sedentary,Rural,78,45,219,0
33,Female,32,Active,Suburban,182,162,652,2
34,Male,30,Moderate,Suburban,124,94,273,1
35,Male,56,Active,Urban,185,102,682,2
36,Male,20,Moderate,Urban,132,75,544,1
37,Female,41,Sedentary,Rural,81,43,218,0
38,Female,40,Moderate,Urban,138,102,361,1
39,Male,18,Moderate,Rural,112,109,274,1
40,Male,49,Active,Urban,185,97,812,2
41,Male,50,Sedentary,Urban,66,58,219,0
42,Female,47,Moderate,Urban,108,55,491,1
43,Male,19,Sedentary,Suburban,76,43,370,0
44,Female,35,Moderate,Urban,123,75,556,1
45,Female,47,Sedentary,Urban,97,80,395,1
46,Male,35,Moderate,Suburban,120,65,269,0
47,Female,22,Sedentary,Suburban,72,71,253,0
48,Female,22,Moderate,Urban,148,76,385,1
49,Female,25,Sedentary,Suburban,83,70,375,0
50,Female,26,Moderate,Suburban,116,102,401,1
51,Male,49,Moderate,Suburban,120,113,327,1
52,Female,31,Sedentary,Suburban,53,42,156,0
53,Male,30,Active,Rural,173,131,780,2
54,Female,35,Moderate,Urban,134,86,603,1
55,Male,21,Moderate,Rural,130,82,414,1
56,Female,39,Active,Urban,163,98,646,2
57,Male,37,Moderate,Suburban,130,84,585,1
58,Female,32,Sedentary,Rural,94,47,334,0
59,Male,24,Active,Suburban,188,120,431,2
60,Male,30,Moderate,Suburban,115,70,455,1
61,Male,51,Sedentary,Suburban,56,47,270,0
62,Female,58,Sedentary,Urban,71,54,220,0
63,Female,47,Active,Suburban,174,87,576,2
64,Male,22,Active,Urban,170,111,587,2
65,Female,18,Active,Urban,184,115,675,2
66,Male,48,Sedentary,Suburban,51,49,156,0
67,Male,37,Moderate,Urban,124,80,356,1
68,Female,36,Sedentary,Rural,62,59,257,0
69,Female,46,Sedentary,Urban,58,48,244,0
70,Female,55,Active,Suburban,173,159,700,2
71,Female,27,Moderate,Suburban,105,99,439,1
72,Female,46,Sedentary,Rural,61,32,304,0
73,Female,48,Active,Rural,167,103,560,2
74,Male,28,Active,Urban,186,111,588,2
75,Male,40,Moderate,Urban,117,97,417,1
76,Male,47,Moderate,Rural,141,111,334,1
77,Female,42,Active,Suburban,183,164,684,2
78,Male,33,Moderate,Suburban,102,99,451,1
79,Female,40,Moderate,Rural,148,95,691,2
80,Female,50,Sedentary,Rural,98,61,484,1
81,Female,54,Moderate,Suburban,146,136,630,2
82,Male,45,Active,Suburban,190,111,413,2
83,Male,44,Moderate,Urban,103,89,430,1
84,Female,23,Sedentary,Rural,50,29,139,0
85,Male,55,Moderate,Rural,100,84,420,1
86,Female,54,Sedentary,Rural,66,62,230,0
87,Female,23,Moderate,Suburban,100,53,268,0
88,Male,42,Moderate,Urban,113,106,376,1
89,Female,30,Active,Suburban,195,182,800,2
90,Female,50,Active,Rural,174,122,543,2
91,Female,50,Moderate,Rural,131,130,311,1
92,Female,42,Moderate,Rural,138,132,492,1
93,Male,31,Sedentary,Rural,96,57,280,0
94,Male,57,Sedentary,Rural,89,72,246,0
95,Female,58,Active,Suburban,163,107,330,1
96,Female,59,Moderate,Urban,143,85,608,1
97,Female,55,Moderate,Rural,100,73,277,0
98,Male,26,Sedentary,Rural,91,64,195,0
99,Male,35,Moderate,Rural,113,100,406,1
100,Male,32,Moderate,Suburban,134,128,456,1
101,Male,21,Moderate,Suburban,118,78,277,1
102,Male,51,Sedentary,Rural,93,68,186,0
103,Female,55,Sedentary,Rural,53,33,183,0
104,Male,34,Sedentary,Rural,95,78,289,0
105,Male,24,Moderate,Rural,119,74,474,1
106,Female,49,Sedentary,Rural,88,67,332,0
107,Male,40,Active,Suburban,191,108,497,2
108,Female,37,Active,Rural,160,154,622,2
